filename, language, JSON with Comments, Markdown, JSON, Properties, JavaScript, XML, C#, HTML, TypeScript, CSS, comment, blank, total
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\app.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\app.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\app.module.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 5, 103
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\home\home.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\home\home.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\home\home.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\home\home.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\lists\lists.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\lists\lists.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 9, 31
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\lists\lists.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\lists\lists.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-card\member-card.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 6, 34
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-card\member-card.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-card\member-card.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-card\member-card.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-detail\member-detail.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-detail\member-detail.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 57
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-detail\member-detail.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-detail\member-detail.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 9, 80
